Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,LIFE (in yrs)
2014,40929,Petrol,Manual,First,32.26,998,58.2,14.5
2013,54493,Petrol,Manual,Second,24.7,796,47.3,11
2017,34000,Diesel,Manual,First,13.68,2393,147.8,10
2012,139000,Diesel,Manual,First,23.59,1364,100,7
2014,29000,Petrol,Manual,First,18.5,1197,82.85,16
2016,85609,Diesel,Manual,Second,16,2179,140,8
2015,59000,Diesel,Automatic,First,12.55,2982,168.7,7
2013,65000,Petrol,Manual,First,21.1,814,55.2,11.5
2011,66000,Petrol,Manual,Second,17,1497,118,10
2015,54684,Diesel,Manual,First,15.1,2179,140,9
2012,78000,Diesel,Automatic,Second,12.8,1968,167.6,6
2016,21000,Petrol,Manual,First,18.9,1197,82,18.5
2007,90000,Petrol,Manual,Third,13.4,1794,125,9
2008,87628,Diesel,Manual,First,17.8,1248,75,8
2014,45000,Petrol,Manual,First,13.24,1598,102.5,14
2013,30788,Diesel,Automatic,First,17.05,1995,184,8
2015,39524,Diesel,Automatic,First,19.59,1995,184,8
2009,140000,Diesel,Manual,First,13.8,1399,68,7
2019,15409,Petrol,Automatic,First,22,1197,81.8,15
2015,36502,Petrol,Manual,First,17.5,1298,85.8,15
2016,200000,Diesel,Manual,First,23.2,1248,73.94,5.5
2010,70000,Petrol,Manual,First,18.06,1198,75,8.5
2017,36701,Petrol,Manual,First,24.7,796,47.3,15
2009,72000,Petrol,Manual,Second,17.5,989,74,9.5
2011,40000,Petrol,Manual,Second,15.5,1799,132,13
2005,47000,Petrol,Manual,Second,13.8,1299,70,11
2006,93500,Petrol,Manual,Second,19.7,796,46.3,8.5
2015,52000,Diesel,Manual,First,27.3,1498,98.6,8.5
2015,55429,Diesel,Automatic,Second,21.66,1498,103.52,6
2011,133000,Petrol,Manual,Second,17,1197,80,8.5
2014,70000,Diesel,Manual,Second,23.59,1364,67.06,8
2014,68000,Diesel,Manual,First,15.11,1598,103.6,9
2010,71000,Petrol,Manual,Second,19.81,1086,68.05,8.5
2012,121000,Diesel,Manual,First,10.5,2835,107.2,6
2015,107000,Diesel,Manual,First,23.4,1248,74,6.5
2015,51000,Petrol,Manual,First,19.1,1197,85.8,12.5
2017,13500,Petrol,Automatic,First,14.84,1598,103.52,14.5
2016,13000,Petrol,Manual,First,15.29,1591,121.3,19
2010,81000,Diesel,Manual,First,12.8,2494,102,8.5
2012,66889,Diesel,Automatic,First,22.48,1995,190,7.5
2018,32000,Diesel,Manual,First,27.39,1248,74,10
2013,87001,Diesel,Automatic,First,17.11,1968,174.33,7.5
2013,55000,Diesel,Automatic,Second,16.55,1968,140,9
2018,4000,Petrol,Manual,First,15.41,1598,103.52,19.5
2017,27778,Diesel,Manual,First,24.52,1248,88.5,11
2017,5000,Petrol,Manual,First,20.73,1373,91.1,19.5
2014,72000,Petrol,Manual,First,20.73,1373,91.1,11.5
2015,21000,Diesel,Automatic,First,20,2143,136,11
2015,59299,Diesel,Manual,First,12.99,2494,100.6,9.5
2014,75000,Diesel,Automatic,First,18.88,1995,184,6.5
2019,3413,Petrol,Manual,First,24.7,796,47.3,19.5
2014,62000,Diesel,Manual,First,22.7,1498,89.84,9
2010,105001,Diesel,Automatic,First,11.4,2953,153.86,5
2013,89000,Diesel,Automatic,First,14.16,1968,174.3,5
2014,21000,Petrol,Manual,First,17.01,1591,121.3,16.5
2014,50000,Diesel,Manual,First,15.1,2179,140,10.5
2016,70687,Diesel,Manual,First,24.3,1248,88.5,8.5
2016,104350,Diesel,Manual,First,23.59,1364,67.04,6.5
2011,150000,Diesel,Manual,Second,19.09,1396,69,5.5
2008,81000,Petrol,Manual,First,17.7,1497,78,10.5
2008,89000,Petrol,Manual,Second,14.53,1798,138.1,8.5
2017,35223,Petrol,Manual,First,18.9,1197,82,15
2015,48000,Petrol,Manual,First,18.6,1197,81.83,13
2015,60000,Diesel,Manual,First,20.14,1498,88.8,10.5
2018,7000,Petrol,Manual,First,23,998,67,19
2015,47572,Petrol,Manual,First,18.2,1199,82.5,13
2010,72727,Diesel,Manual,Second,15.4,2179,120,7.5
2018,4708,Diesel,Manual,First,21.66,1498,108.62,12.5
2009,55000,Petrol,Manual,Second,18.9,998,67.1,12
2013,44198,Petrol,Manual,Second,18.4,1198,86.8,13.5
2015,35000,Petrol,Manual,First,16.02,1373,93.7,14.5
2013,63831,Petrol,Manual,First,0,1086,62,13
2017,17540,Petrol,Manual,First,18.16,1196,86.8,18
2017,14000,Petrol,Automatic,First,23.84,1199,84,15
2007,47000,Petrol,Manual,Second,0,1086,62,13
2010,75422,Petrol,Manual,Second,18.6,1199,79.4,11
2011,67000,Diesel,Manual,Second,23.08,1461,63.1,8
2013,79999,Diesel,Manual,First,12.99,2494,100,8
2017,5044,Petrol,Manual,First,20.14,1197,81.86,19
2016,31601,Petrol,Manual,First,20.73,1373,91.1,14.5
2014,70000,Diesel,Automatic,First,18.12,1995,190,5.5
2016,16000,Petrol,Automatic,First,19.16,2487,175.67,13
2016,31700,Diesel,Manual,First,21.43,1364,87.2,11
2014,76969,Diesel,Manual,First,22.32,1582,126.32,8
2015,37000,Diesel,Automatic,First,21.21,1498,103.2,8.5
2014,23000,Petrol,Automatic,First,11.07,2496,179.5,13
2014,59098,Petrol,Manual,Second,17,1197,80,9.5
2010,142299,Petrol,Manual,First,13.07,1368,88.76,9
2011,75731,Diesel,Manual,First,20,1399,68,8.5
2017,69627,Petrol,Manual,First,18.6,1197,81.83,11
2011,49000,Petrol,Manual,First,15.3,1596,99.6,13.5
2015,25700,Petrol,Automatic,First,11.9,1595,120.7,13
2012,80800,Petrol,Manual,First,18.5,1197,82.85,10
2013,110896,Diesel,Manual,First,23.4,1248,74,7.5
2009,62261,Petrol,Manual,First,17.92,1086,62.1,14
2017,27610,Petrol,Manual,First,21.4,1197,83.1,14.5
2011,89219,Petrol,Manual,First,10.2,2354,180,12
